id,summarization,tokens,topics,description
425,,[],[],facebook style built in jquery
291056,,[],[],this is the legacy version of teambox the award winning collaboration inspired by yammer and twitter
2557230,,[],[],unmaintained small components for building manipulating and automating a distributed infrastructure
1714530,,[],[],a horizontal view scroller library for android
761438,,[],[],the html ebook framework to publish interactive books magazines on ipad iphone using simply open web standards
6270574,,[],[],css d dropdown concept
5153205,,[],[],an abstraction layer for webrtc aim is to simplify the html web standard webrtc in a similar manner to socket io w and websockets highly experimental technology
3806475,,[],[],deprecated see natew and obtvse
1802145,,[],[],a uiswitch like segmented control for your ios app
1602291,,[],[],cloud foundry the open platform as a service project
10632915,,[],[],a grid menu with elastic depth of and realistic animation
6778210,,[],[],adds support for background size cover and contain to ie
6422710,,[],[],a simple python tool to pinpoint the ip addresses of machines working for the great firewall of china
1040700,,[],[],the official online compendium for mining the social web o 
14817503,,[],[],fossasia  drupal site
14813775,,[],[],fossasia  drupal site
3349413,,[],[],a simple light weight javascript library for dealing with touch events
9473425,,[],[],super minimal selector and event library
5089138,,[],[],bootstrap toggle buttons has moved to https and and github com and nostalgiaz and bootstrap switch
3639793,,[],[],a cloudfuji chat application
4184416,,[],[],a css and js bootstrap to style and manipulate data tables
470946,,[],[],etherpad open source repository
1096127,,[],[],depthjs allows any web page to interact with the microsoft kinect using javascript
191714,,[],[],less ruby now at http and and github com and cowboyd and less rb
11119992,,[],[],a set of experimental modal window appearance effects with css transitions and animations
2674127,,[],[],a node js based data retrieval and aggregation gateway for quickly consuming http apis
10178606,,[],[],clank open source prototyping framework for mobile apps
1774473,,[],[],a completely open source implementation of a bitcoin miner for altera and xilinx fpgas this project hopes to promote the free and open development of fpga based mining solutions and secure the future of the bitcoin project as a whole a binary release is currently available for the terasic de  development and there are compile able projects for numerous boards
11126140,,[],[],the chrome web lab for hackers and everyone
9792504,,[],[],this is a new navigation controller inspired by flipboard
4467848,,[],[],a new kind of headless webkit integration for nodejs a great alternative to phantomjs
3317938,,[],[],ios view library for displaying stylish errors
10703295,,[],[],easy to use user interface elements which are really similar to design in ios 
1306177,,[],[],instagram like image filters in pure javascript
5371382,,[],"['ios', 'patch', 'wax']",dynamically load a lua script to change the behavior of your ios application
10571816,,[],[],easily add an nsa backdoor into your rails app
8643683,,[],[],a drop in solution for building stylish app introductions and tutorials
10108151,,[],[],just a simply easy way to label each element you want
5691343,,[],[],powerful pattern matching for javascript
1813466,,[],[],saxophone javascript mpeg  audio layer iii mp and idv decoder
8473804,,[],[],a minimal status bar for ios
2629675,,[],[],foundation for a responsive starter theme
9913540,,[],[],make a pattern library using atomic design
457353,,[],[],old v please see http and and github org and telehash now
391267,,[],[],a modular async web framework for node js
9624289,,[],[],this responsive layout is based on an initial grid of four boxes once a box is it gets resized to fullscreen and the other boxes scale down and fade out in the work section we experiment with another transition which is to show a panel by making it appear from the bottom while scaling the current one down to see it in open the work section and click on one of the portfolio items and navigate through them
1661426,,[],[],deprecated a node js application server spawn your own node js on your own hardware
6299699,,[],[],a implementation of roman nurik s and nick butcher s quick return ui patern for a listview
3503557,,[],[],deprecated a replica of the clear iphone app in html
11833467,,[],[],the backend agnostic administration framework
7092862,,[],[],bootstrap ie compatible library
2726128,,[],[],a silly effective md cracker in ruby
3230366,,[],[],command conquer in html and javascript
2450957,,[],[],guide for writing c and and node js extensions
4255862,,[],[],initial directory style guide and pattern primer intended as a starting point for my own available for others to clone and adapt for theirs
10543437,,[],[],a new d effect viewcontroller transition inspired by natgeo city guides by national geographic
12322554,,[],[],the standard ios  colors as a handy category on uicolor
5559313,,[],[],javascript fulltext search engine library
3216266,,[],[],a set of ui elements styled using the boostrap toolkit to use with ember js
1822027,,[],[],rd party extensions for cocosd iphone
9470043,,[],[],a snake ai written in python
5306428,,[],[],a node js http server in your browser
8756877,,[],[],a native particle systems effect view for ios and osx powered by quartzcore
11741832,,[],[],a reproduction of the ios  mail app s swipe to reveal options
12072214,,[],[],thatphoto is an app that lets you view and edit your photos
5941021,,[],[],androidkickstartr helps you to quickly create a well configured android application using the most popular libraries it creates and configures your project for you just focus on code
11622326,,[],[],container orchestration for docker environments
15139581,,[],[],a set of flat and d progress button styles where the button itself serves as a progress indicator d styles are used for showing the progress indication on one side of the button while rotating the button in perspective
5396462,,[],[],sina weibo android sdk
3921398,,[],[],webputty is a simple css editing and hosting service that you can run on google app engine
2142550,,[],[],meta viewport done right
3783995,,[],[],visual tool to create impress js presentations
5283221,,[],[],building ffmpeg for android vfp and used in vplayer for android
10862193,,[],[],hacker news client for ipad and iphone deprecated
3197627,,[],[],the project aims at being a modular backbone environment with as little authority on development as possible such that developers can innovate and contribute in an attempt to mimic the success of backbone js ambiguous nature
12541985,,[],[],a spring like collection view layout the same effect like ios s message app
3606843,,[],[],redis like wrapper for javascript storage
53611,,[],[],textmate bundle for jquery
